KalenderAar;ArligUtslippLuftTotalt;ArligUtslippVannTotalt;ArligUtslippJordTotalt;StandardEnhet;GrunnlagVerdi;IR;GrunnlagVerdiVann;GrunnlagVerdiLuft;MiljodataTotalEmissionToAir;TotaltLokalitet;
2001;884,4871415800;-0,0000000001;-0,0000000001;1000 tonn;;false;;;;;
2002;949,2417399600;-0,0000000001;-0,0000000001;1000 tonn;;false;;;;;
2003;1049,9217488000;-0,0000000001;-0,0000000001;1000 tonn;;false;;;;;
2004;843,2652838700;-0,0000000001;-0,0000000001;1000 tonn;;false;;;;;
2005;694,8299365200;-0,0000000001;-0,0000000001;1000 tonn;;false;;;;;
2006;718,4201739700;-0,0000000001;-0,0000000001;1000 tonn;;false;;;;;
2007;601,9975263400;-0,0000000001;-0,0000000001;1000 tonn;;false;;;;;
2008;498,9999820700;-0,0000000001;-0,0000000001;1000 tonn;;false;;;;;
2009;497,8585811400;-0,0000000001;-0,0000000001;1000 tonn;;false;;;;;
2010;597,5957203300;-0,0000000001;-0,0000000001;1000 tonn;;false;;;;;
2011;452,1476166500;-0,0000000001;-0,0000000001;1000 tonn;;false;;;;;
2012;357,0650587100;-0,0000000001;-0,0000000001;1000 tonn;;false;;;;;
2013;;;;;;true;;;;;
